Feature ID,lfc
Wdhd1,0.497913392
Inpp1,0.496705139
Serpine1,0.494776907
5730508B09Rik,0.494360442
BC057022,0.493440172
Slc25a30,0.493187022
Gm10020,0.491271486
Prkaa1,0.490587758
Gdpd1,0.486780619
Ndufv2,0.484920929
Gm11707,0.484131757
Ggh,0.481677841
Cyth3,0.479971162
C130039O16Rik,0.47669972
Runx3,0.473840342
Cmc1,0.473743759
Arhgef37,0.473387798
Il6ra,0.472686652
B4galt3,0.472574293
Cyr61,0.471651064
4930599N23Rik,0.471576436
AC055772.1,0.470863716
Ap3s1,0.470638185
2410127L17Rik,0.47010462
Txnip,0.469491753
Hipk1,0.469336144
Spsb4,0.466159771
D4Wsu53e,0.464456384
Fbxo32,0.463587022
Ndufc2,0.463553239
Rpl17,0.461803576
Bcl10,0.461311083
Cdr2,0.459879909
Rpl22l1,0.459475495
Fbxo18,0.45921255
Lifr,0.458935442
Mrpl41,0.458895065
Mrgpre,0.458884275
2410004N09Rik,0.458537445
Mettl7a1,0.453178935
Med30,0.451247622
Il7r,0.44972098
Gna13,0.449617769
Hmgb2,0.447339188
Fam126a,0.4463018
Trim3,0.445446344
Gcnt1,0.443718889
2610039C10Rik,0.442507489
Pim3,0.438275041
Stxbp3a,0.436758755
Acvr2a,0.435514732
Ctnnd1,0.435466404
Prpf38b,0.43500008
Tspan33,0.434186368
Slfn3,0.434169015
Cox7c,0.433432896
Ppp1r15b,0.432876034
Ms4a6d,0.432868015
Xpa,0.432216011
Ly6c1,0.431979148
N4bp1,0.429783322
Gm8292,0.429293804
Rbm38,0.428722029
2810004N23Rik,0.428695652
Gm12250,0.428688859
Rpl35a,0.428511711
Diras2,0.42695011
Yipf4,0.426505424
D10Wsu102e,0.426067599
Rps27a,0.425861666
Plekhf2,0.42565555
Ahdc1,0.424667101
Cdkn1b,0.423232441
Nol7,0.422554029
Trim14,0.42196268
C77080,0.420241389
Gm8325,0.419197132
Xlr4a,0.418453882
Rps2-ps13,0.416444054
Zfp386,0.415898198
Hspa14 (2 3406121..3430086),0.415860947
Rdh12,0.415671985
Gramd3,0.415447402
Il1r2,0.415372499
Rpl13,0.415199245
Ube3a,0.412627721
Pmvk,0.412398315
Sub1,0.411961372
H3f3a,0.411833417
Ms4a6c,0.410811576
Pam16,0.410667644
Ndufb4,0.410431805
Tapbpl,0.409919193
1700034H14Rik,0.409048987
Gypc,0.409003377
Gm11973,0.408207599
Rnf217,0.406562245
B630019K06Rik,0.406451851
Gm10052,0.405740038
Gm6055,0.405685145
Stard8,0.405513463
Gm11425,0.404981107
Fbxl5,0.403841046
Tmem37,0.403244705
Elf2,0.403242573
Itpripl1,0.403083179
Yy1,0.402567255
Zfp746,0.401761372
mt-Nd2,0.401353906
Hspa2,0.398310544
Phf11,0.39774355
AC152410.1,0.396403455
D19Ertd737e,0.396324374
D230025D16Rik,0.395744194
Gpr85,0.395406034
Dusp10,0.394946626
Rnf149,0.394571886
Cab39,0.392757419
Dram2,0.392533051
Pnpla2,0.392501679
Scd2,0.392235979
Timm8a1,0.391870507
Abcd2,0.3910295
1110020G09Rik,0.390536382
Dctpp1,0.39017001
Ifitm5,0.388927415
Kdm6b,0.388545274
Gm4951,0.388276307
AC114007.1,0.387331877
Dhx9,0.386349127
Birc3,0.385241507
Wdr91,0.3848431
Frmd4a,0.383573776
Rcsd1,0.383180911
Oxr1,0.38297613
Mrfap1,0.382695626
Cwc15,0.382607418
Gng10,0.382375022
mt-Nd1,0.382088117
Ssfa2,0.381957105
Eid1,0.381422876
Cenpq,0.380989542
Coro2a,0.380371805
Gm12353,0.379380491
Xrn2,0.378864319
Zdhhc23,0.378301775
Tmem203,0.378134135
Rfk,0.378115308
AI848100,0.377286618
Tlr8,0.376757998
Edem1,0.375968156
Rassf8 (6 145695267..145769599),0.375800751
Fbxo22,0.375343551
Fam13a,0.375125413
Nr4a1,0.374859042
Nus1,0.373841019
Mndal,0.373328833
Ptger2,0.373210537
Arrdc3,0.372494068
Elovl5,0.371582228
AW112010,0.371322144
Akirin1,0.371125812
Trim11,0.370171247
Tnfaip3,0.370004345
Ubp1,0.369815735
Gm15674,0.369662743
Ttc32,0.36949551
Apoo,0.368412905
Kif2a,0.368061569
Gm15753,0.367481244
Gng5,0.366774195
Timp1,0.366652117
Mtmr12,0.365301567
Rpl13-ps3,0.364877181
Fbxo33,0.364420336
Tmem104,0.364284436
RP23-140D14.19,0.363497697
Prr7,0.363212022
Ipmk,0.362828464
Gm4149,0.362528776
Hectd1,0.361735995
Ccdc41,0.361270714
Lmbrd2,0.361087183
Rnf128,0.36066749
1810022K09Rik,0.360450868
Zfp36l2,0.360241489
Dck,0.360024695
Cept1,0.359737899
Eef2k (7 127986344..128050733),0.359171567
Asxl1,0.359082833
